"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.feedback","Answer.surveycode","Approve","Reject"
"307FVKVSYSH8W3J5O5JME77SJMR47U","3GTAJN9JK7G24ZNL6FTXEGT8LH9MXT","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Fri May 12 12:33:44 PDT 2017","5","BatchId:2800982;OriginalHitTemplateId:920937340;","10800","345600","Mon May 15 12:33:44 PDT 2017","","","3BXQMRHWK00TKOI1XKHVYDXW91JMUF","AI1M1N84X7GAU","Approved","Fri May 12 12:47:27 PDT 2017","Fri May 12 13:03:42 PDT 2017","Tue May 16 13:03:42 PDT 2017","2017-05-16 20:04:24 UTC","","","975","100% (1/1)","0% (0/0)","0% (0/0)","0","No","1299903"
"307FVKVSYSH8W3J5O5JME77SJMR47U","3GTAJN9JK7G24ZNL6FTXEGT8LH9MXT","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Fri May 12 12:33:44 PDT 2017","5","BatchId:2800982;OriginalHitTemplateId:920937340;","10800","345600","Mon May 15 12:33:44 PDT 2017","","","3Q5C1WP23N3F3K6X3XQP69HDC9X156","A7S20RE3KBAPG","Approved","Fri May 12 13:10:41 PDT 2017","Fri May 12 13:10:51 PDT 2017","Tue May 16 13:10:51 PDT 2017","2017-05-16 20:11:23 UTC","","","10","100% (1/1)","0% (0/0)","0% (0/0)","0","N/A","1469387"
"307FVKVSYSH8W3J5O5JME77SJMR47U","3GTAJN9JK7G24ZNL6FTXEGT8LH9MXT","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Fri May 12 12:33:44 PDT 2017","5","BatchId:2800982;OriginalHitTemplateId:920937340;","10800","345600","Mon May 15 12:33:44 PDT 2017","","","3QAVNHZ3EN6PZXMIR3ZPYZ6D2T1LA0","A3TQIKJO9LO6GJ","Approved","Fri May 12 12:41:07 PDT 2017","Fri May 12 12:51:48 PDT 2017","Tue May 16 12:51:48 PDT 2017","2017-05-16 19:52:23 UTC","","","641","100% (1/1)","0% (0/0)","0% (0/0)","0","N/A","1035321"
"307FVKVSYSH8W3J5O5JME77SJMR47U","3GTAJN9JK7G24ZNL6FTXEGT8LH9MXT","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Fri May 12 12:33:44 PDT 2017","5","BatchId:2800982;OriginalHitTemplateId:920937340;","10800","345600","Mon May 15 12:33:44 PDT 2017","","","3X87C8JFV7D4QQOP08TC0LZDY5XSQU","A2IYD2K4C9JPC0","Approved","Fri May 12 13:15:17 PDT 2017","Fri May 12 13:46:50 PDT 2017","Tue May 16 13:46:50 PDT 2017","2017-05-16 20:47:24 UTC","","","1893","100% (1/1)","0% (0/0)","0% (0/0)","0","It was different and interesting. Thanks!","6600057"
"307FVKVSYSH8W3J5O5JME77SJMR47U","3GTAJN9JK7G24ZNL6FTXEGT8LH9MXT","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Fri May 12 12:33:44 PDT 2017","5","BatchId:2800982;OriginalHitTemplateId:920937340;","10800","345600","Mon May 15 12:33:44 PDT 2017","","","3Z3ZLGNNSJW0693AATSBSDR16PWQ3Y","AFVTRO4BLXFS4","Approved","Fri May 12 12:52:38 PDT 2017","Fri May 12 13:17:11 PDT 2017","Tue May 16 13:17:11 PDT 2017","2017-05-16 20:17:26 UTC","","","1473","100% (1/1)","0% (0/0)","0% (0/0)","0","N/A","6230483"
"3Z56AA6EK525WTU6BZEQUNOWA2RM67","3GTAJN9JK7G24ZNL6FTXEGT8LH9MXT","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Fri May 12 12:33:44 PDT 2017","5","BatchId:2800982;OriginalHitTemplateId:920937340;","10800","345600","Mon May 15 12:33:44 PDT 2017","","","3EO896NRAXXOJ3XRUIETDPJDMTMTJW","A3JC9RP37J5TUJ","Approved","Fri May 12 13:40:49 PDT 2017","Fri May 12 14:14:39 PDT 2017","Tue May 16 14:14:39 PDT 2017","2017-05-16 21:15:23 UTC","","","2030","100% (1/1)","0% (0/0)","0% (0/0)","0","It was difficult to write about the cons because both resumes were good.","1510341"
"3Z56AA6EK525WTU6BZEQUNOWA2RM67","3GTAJN9JK7G24ZNL6FTXEGT8LH9MXT","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Fri May 12 12:33:44 PDT 2017","5","BatchId:2800982;OriginalHitTemplateId:920937340;","10800","345600","Mon May 15 12:33:44 PDT 2017","","","3KIBXJ1WD6W3HVY1GMS6KUD32A1OK0","A3A6QQ56KPREOA","Approved","Fri May 12 13:00:39 PDT 2017","Fri May 12 13:21:14 PDT 2017","Tue May 16 13:21:14 PDT 2017","2017-05-16 20:21:25 UTC","","","1235","100% (1/1)","0% (0/0)","0% (0/0)","0","interesting survey!","4657057"
"3Z56AA6EK525WTU6BZEQUNOWA2RM67","3GTAJN9JK7G24ZNL6FTXEGT8LH9MXT","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Fri May 12 12:33:44 PDT 2017","5","BatchId:2800982;OriginalHitTemplateId:920937340;","10800","345600","Mon May 15 12:33:44 PDT 2017","","","3KWTYT08715STRA1W788QOQRAF05LE","A44DKY6PU18JG","Approved","Fri May 12 12:35:47 PDT 2017","Fri May 12 12:49:57 PDT 2017","Tue May 16 12:49:57 PDT 2017","2017-05-16 19:50:23 UTC","","","850","100% (1/1)","0% (0/0)","0% (0/0)","0","N/A","8858549"
"3Z56AA6EK525WTU6BZEQUNOWA2RM67","3GTAJN9JK7G24ZNL6FTXEGT8LH9MXT","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Fri May 12 12:33:44 PDT 2017","5","BatchId:2800982;OriginalHitTemplateId:920937340;","10800","345600","Mon May 15 12:33:44 PDT 2017","","","3UN61F00HXR3WP5E1R54C0ZQG7W5RB","A1G7ZAJTIUXAR7","Approved","Fri May 12 13:56:55 PDT 2017","Fri May 12 14:22:26 PDT 2017","Tue May 16 14:22:26 PDT 2017","2017-05-16 21:22:29 UTC","","","1531","100% (1/1)","0% (0/0)","0% (0/0)","0","N/A","9335820"
"3Z56AA6EK525WTU6BZEQUNOWA2RM67","3GTAJN9JK7G24ZNL6FTXEGT8LH9MXT","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Fri May 12 12:33:44 PDT 2017","5","BatchId:2800982;OriginalHitTemplateId:920937340;","10800","345600","Mon May 15 12:33:44 PDT 2017","","","3ZQIG0FLQFIP2F1F6CXN3X16LACWVB","A1EEW4VBM31ZYU","Approved","Fri May 12 13:52:38 PDT 2017","Fri May 12 14:10:08 PDT 2017","Tue May 16 14:10:08 PDT 2017","2017-05-16 21:10:24 UTC","","","1050","100% (1/1)","0% (0/0)","0% (0/0)","0","None","4215793"
