"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.feedback","Answer.surveycode","Approve","Reject"
"3OEWW2KGQKDSH5UXY21HSXNTMQSDO8","3YBVJZAYKKVR44DVBBFZXU0HNN3MYZ","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Mon May 15 15:47:39 PDT 2017","5","BatchId:2803830;OriginalHitTemplateId:920937340;","10800","345600","Thu May 18 15:47:39 PDT 2017","","","32SCWG5HII6E3GPDTIBKZBDBBQCP6O","A2QBV3Y7X34XNB","Approved","Mon May 15 18:24:58 PDT 2017","Mon May 15 18:47:29 PDT 2017","Fri May 19 18:47:29 PDT 2017","2017-05-20 01:48:23 UTC","","","1351","100% (1/1)","0% (0/0)","0% (0/0)","0","No","6209157"
"3OEWW2KGQKDSH5UXY21HSXNTMQSDO8","3YBVJZAYKKVR44DVBBFZXU0HNN3MYZ","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Mon May 15 15:47:39 PDT 2017","5","BatchId:2803830;OriginalHitTemplateId:920937340;","10800","345600","Thu May 18 15:47:39 PDT 2017","","","37QW5D2ZRHOYKMOTEECCEUED4548S4","A171S95UOR8EUH","Approved","Mon May 15 15:50:31 PDT 2017","Mon May 15 16:21:40 PDT 2017","Fri May 19 16:21:40 PDT 2017","2017-05-19 23:22:23 UTC","","","1869","100% (1/1)","0% (0/0)","0% (0/0)","0","Not applicable","6139378"
"3OEWW2KGQKDSH5UXY21HSXNTMQSDO8","3YBVJZAYKKVR44DVBBFZXU0HNN3MYZ","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Mon May 15 15:47:39 PDT 2017","5","BatchId:2803830;OriginalHitTemplateId:920937340;","10800","345600","Thu May 18 15:47:39 PDT 2017","","","3FE7TXL1LJPBLR7R6TE693M90H9Q2C","A1NUYMKTTETS2V","Approved","Mon May 15 22:20:28 PDT 2017","Mon May 15 22:35:00 PDT 2017","Fri May 19 22:35:00 PDT 2017","2017-05-20 05:35:23 UTC","","","872","100% (1/1)","0% (0/0)","0% (0/0)","0","None","9239233"
"3OEWW2KGQKDSH5UXY21HSXNTMQSDO8","3YBVJZAYKKVR44DVBBFZXU0HNN3MYZ","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Mon May 15 15:47:39 PDT 2017","5","BatchId:2803830;OriginalHitTemplateId:920937340;","10800","345600","Thu May 18 15:47:39 PDT 2017","","","3HFNH7HEMIG10LFY58ZVB7GAA0WGQ3","A394BIBVFFH67M","Approved","Mon May 15 15:57:22 PDT 2017","Mon May 15 16:17:01 PDT 2017","Fri May 19 16:17:01 PDT 2017","2017-05-19 23:17:23 UTC","","","1179","100% (1/1)","0% (0/0)","0% (0/0)","0","No","2824578"
"3OEWW2KGQKDSH5UXY21HSXNTMQSDO8","3YBVJZAYKKVR44DVBBFZXU0HNN3MYZ","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Mon May 15 15:47:39 PDT 2017","5","BatchId:2803830;OriginalHitTemplateId:920937340;","10800","345600","Thu May 18 15:47:39 PDT 2017","","","3JCG6DTRV4SSDA9C84475LKCGNAQQD","A1UZ0HSAZLIW3M","Approved","Mon May 15 18:21:12 PDT 2017","Mon May 15 18:43:56 PDT 2017","Fri May 19 18:43:56 PDT 2017","2017-05-20 01:44:23 UTC","","","1364","100% (1/1)","0% (0/0)","0% (0/0)","0","no feedback","1237414"
"338GLSUI44D4DH0MWPDG020FVSBFSI","3YBVJZAYKKVR44DVBBFZXU0HNN3MYZ","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Mon May 15 15:47:39 PDT 2017","5","BatchId:2803830;OriginalHitTemplateId:920937340;","10800","345600","Thu May 18 15:47:39 PDT 2017","","","3DY4FPOOA2QKUJKT7INHGYTPT1RVRD","A182J772E61GV4","Approved","Mon May 15 18:22:01 PDT 2017","Mon May 15 19:04:49 PDT 2017","Fri May 19 19:04:49 PDT 2017","2017-05-20 02:05:23 UTC","","","2568","100% (1/1)","0% (0/0)","0% (0/0)","0","no","7474514"
"338GLSUI44D4DH0MWPDG020FVSBFSI","3YBVJZAYKKVR44DVBBFZXU0HNN3MYZ","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Mon May 15 15:47:39 PDT 2017","5","BatchId:2803830;OriginalHitTemplateId:920937340;","10800","345600","Thu May 18 15:47:39 PDT 2017","","","3OCHAWUVGPMQB4CTHDF2374WEK1XKL","AEG4GVBWS1OX3","Approved","Mon May 15 16:32:21 PDT 2017","Mon May 15 16:51:07 PDT 2017","Fri May 19 16:51:07 PDT 2017","2017-05-19 23:51:23 UTC","","","1126","100% (1/1)","0% (0/0)","0% (0/0)","0","I enjoyed this very much","3639203"
"338GLSUI44D4DH0MWPDG020FVSBFSI","3YBVJZAYKKVR44DVBBFZXU0HNN3MYZ","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Mon May 15 15:47:39 PDT 2017","5","BatchId:2803830;OriginalHitTemplateId:920937340;","10800","345600","Thu May 18 15:47:39 PDT 2017","","","3PZDLQMM0UN7RQX81BDBPYXSW212CC","ATSIDIH0P764D","Approved","Mon May 15 19:30:32 PDT 2017","Mon May 15 19:51:04 PDT 2017","Fri May 19 19:51:04 PDT 2017","2017-05-20 02:51:23 UTC","","","1232","100% (1/1)","0% (0/0)","0% (0/0)","0","{}","3660829"
"338GLSUI44D4DH0MWPDG020FVSBFSI","3YBVJZAYKKVR44DVBBFZXU0HNN3MYZ","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Mon May 15 15:47:39 PDT 2017","5","BatchId:2803830;OriginalHitTemplateId:920937340;","10800","345600","Thu May 18 15:47:39 PDT 2017","","","3ZAZR5XV02KXX10KQIMPC97ZHBSZC9","A1J9ITNINHSJ4S","Approved","Mon May 15 17:46:25 PDT 2017","Mon May 15 18:06:40 PDT 2017","Fri May 19 18:06:40 PDT 2017","2017-05-20 01:07:23 UTC","","","1215","100% (1/1)","0% (0/0)","0% (0/0)","0","2nd Candidate would have been good but an error in resume is understandable if it is not in the 1st paragraph while looking for a consulting job which requires more trust to be autonomous.","5871555"
"338GLSUI44D4DH0MWPDG020FVSBFSI","3YBVJZAYKKVR44DVBBFZXU0HNN3MYZ","Evaluate management consulting job candidate resumes","Evaluate management consulting job applicant resumes.","management, consulting, jobs","$3.00","Mon May 15 15:47:39 PDT 2017","5","BatchId:2803830;OriginalHitTemplateId:920937340;","10800","345600","Thu May 18 15:47:39 PDT 2017","","","3ZY8KE4ISK5KII5TU3YHB8JKXFQVQD","A3DIEFVL36YRH6","Approved","Mon May 15 18:45:18 PDT 2017","Mon May 15 19:07:07 PDT 2017","Fri May 19 19:07:07 PDT 2017","2017-05-20 02:07:23 UTC","","","1309","100% (1/1)","0% (0/0)","0% (0/0)","0","No","7323548"
